1,Stephen Curry,"$34,682,550 ",Team,Team Code
2,LeBron James,"$33,285,709 ",Cleveland Cavaliers,CLE
3,Paul Millsap,"$30,769,231 ",Denver Nuggets,DEN
4,Gordon Hayward,"$29,727,900 ",Boston Celtics,BOS
5,Blake Griffin,"$29,512,900 ",Detriot Pistons,DET
6,Kyle Lowry,"$28,903,704 ",Toronto Raptors,TOR
7,Mike Conley,"$28,530,608 ",Memphis Grizzlies,MEM
8,Russell Westbrook,"$28,299,399 ",Oklahoma City Thunder,OKC
8,James Harden,"$28,299,399 ",Houston Rockets ,HOU
10,DeMar DeRozan,"$27,739,975 ",Toronto Raptors,TOR
11,Al Horford,"$27,734,405 ",Boston Celtics,BOS
12,Carmelo Anthony,"$26,243,760 ",Oklahoma City Thunder,OKC
13,Damian Lillard,"$26,153,057 ",Portland Trailblazers,POR
14,Jrue Holiday,"$25,686,667 ",New Orleans Pelicans,NOP
15,Chris Bosh,"$25,289,390 ",Miami Heat,MIA
16,Kevin Durant,"$25,000,000 ",Golden State Warriors,GSW
17,Otto Porter,"$24,773,250 ",Washington Wizards,WAS
18,Chris Paul,"$24,268,959 ",Houston Rockets ,HOU
19,CJ McCollum,"$23,962,573 ",Portland Trailblazers,POR
20,Bradley Beal,"$23,775,506 ",Washington Wizards,WAS
20,Anthony Davis,"$23,775,506 ",New Orleans Pelicans,NOP
20,Hassan Whiteside,"$23,775,506 ",Miami Heat,MIA
20,Andre Drummond,"$23,775,506 ",Detriot Pistons,DET
24,Dwight Howard,"$23,500,000 ",Charlotte Hornets,CHO
25,Chandler Parsons,"$23,112,004 ",Memphis Grizzlies,MEM
25,Harrison Barnes,"$23,112,004 ",Dallas Mavericks,DAL
27,JJ Redick,"$23,000,000 ",Philadelphia 76ers,PHI
28,Marc Gasol,"$22,642,350 ",Memphis Grizzlies,MEM
28,Brook Lopez,"$22,642,350 ",Los Angeles Lakers,LAL
28,DeAndre Jordan,"$22,642,350 ",Los Angeles Clippers,LAC
28,Kevin Love,"$22,642,350 ",Cleveland Cavaliers,CLE
32,Steven Adams,"$22,471,911 ",Oklahoma City Thunder,OKC
32,Giannis Antetokounmpo,"$22,471,911 ",Milwaukee Bucks,MIL
34,Nicolas Batum,"$22,434,783 ",Charlotte Hornets,CHO
35,LaMarcus Aldridge,"$21,461,010 ",San Antonio Spurs,SAS
36,Greg Monroe,"$21,384,175 ",Boston Celtics,BOS
37,Rudy Gobert,"$21,224,719 ",Utah Jazz,UTA
38,Victor Oladipo,"$21,000,000 ",Indiana Pacers,IND
39,Danilo Gallinari,"$20,559,599 ",Los Angeles Clippers,LAC
40,Serge Ibaka,"$20,061,729 ",Toronto Raptors,TOR
41,George Hill,"$20,000,000 ",Sacramento Kings,SAC
