Team Code,Year,Value
ATL,2015,"$825,000,000.00 "
ATL,2016,"$825,000,000.00 "
ATL,2017,"$885,000,000.00 "
ATL,2018,"$1,150,000,000.00 "
ATL,2019,"$1,300,000,000.00 "
BKY,2015,"$1,500,000,000.00 "
BKY,2016,"$1,700,000,000.00 "
BKY,2017,"$1,800,000,000.00 "
BKY,2018,"$2,300,000,000.00 "
BKY,2019,"$2,350,000,000.00 "
BOS,2015,"$1,700,000,000.00 "
BOS,2016,"$2,100,000,000.00 "
BOS,2017,"$2,200,000,000.00 "
BOS,2018,"$2,500,000,000.00 "
BOS,2019,"$2,800,000,000.00 "
CHA,2015,"$725,000,000.00 "
CHA,2016,"$750,000,000.00 "
CHA,2017,"$780,000,000.00 "
CHA,2018,"$1,050,000,000.00 "
CHA,2019,"$1,250,000,000.00 "
CHI,2015,"$2,000,000,000.00 "
CHI,2016,"$2,300,000,000.00 "
CHI,2017,"$2,500,000,000.00 "
CHI,2018,"$2,600,000,000.00 "
CHI,2019,"$2,900,000,000.00 "
CLE,2015,"$915,000,000.00 "
CLE,2016,"$1,100,000,000.00 "
CLE,2017,"$1,200,000,000.00 "
CLE,2018,"$1,325,000,000.00 "
CLE,2019,"$1,275,000,000.00 "
DAL,2015,"$1,150,000,000.00 "
DAL,2016,"$1,400,000,000.00 "
DAL,2017,"$1,450,000,000.00 "
DAL,2018,"$1,900,000,000.00 "
DAL,2019,"$2,250,000,000.00 "
DEN,2015,"$855,000,000.00 "
DEN,2016,"$855,000,000.00 "
DEN,2017,"$890,000,000.00 "
DEN,2018,"$1,125,000,000.00 "
DEN,2019,"$1,375,000,000.00 "
DET,2015,"$810,000,000.00 "
DET,2016,"$850,000,000.00 "
DET,2017,"$900,000,000.00 "
DET,2018,"$1,100,000,000.00 "
DET,2019,"$1,270,000,000.00 "
GSW,2015,"$1,300,000,000.00 "
GSW,2016,"$1,900,000,000.00 "
GSW,2017,"$2,600,000,000.00 "
GSW,2018,"$3,100,000,000.00 "
GSW,2019,"$3,500,000,000.00 "
HOU,2015,"$1,250,000,000.00 "
HOU,2016,"$1,500,000,000.00 "
HOU,2017,"$1,650,000,000.00 "
HOU,2018,"$2,200,000,000.00 "
HOU,2019,"$2,300,000,000.00 "
IND,2015,"$830,000,000.00 "
IND,2016,"$840,000,000.00 "
IND,2017,"$880,000,000.00 "
IND,2018,"$1,175,000,000.00 "
IND,2019,"$1,400,000,000.00 "
LAC,2015,"$1,600,000,000.00 "
LAC,2016,"$2,000,000,000.00 "
LAC,2017,"$2,000,000,000.00 "
LAC,2018,"$2,150,000,000.00 "
LAC,2019,"$2,200,000,000.00 "
LAL,2015,"$2,600,000,000.00 "
LAL,2016,"$2,700,000,000.00 "
LAL,2017,"$3,000,000,000.00 "
LAL,2018,"$3,300,000,000.00 "
LAL,2019,"$3,700,000,000.00 "
MEM,2015,"$750,000,000.00 "
MEM,2016,"$780,000,000.00 "
MEM,2017,"$790,000,000.00 "
MEM,2018,"$1,025,000,000.00 "
MEM,2019,"$1,200,000,000.00 "
MIA,2015,"$1,175,000,000.00 "
MIA,2016,"$1,300,000,000.00 "
MIA,2017,"$1,350,000,000.00 "
MIA,2018,"$1,700,000,000.00 "
MIA,2019,"$1,750,000,000.00 "
MIL,2015,"$600,000,000.00 "
MIL,2016,"$675,000,000.00 "
MIL,2017,"$785,000,000.00 "
MIL,2018,"$1,075,000,000.00 "
MIL,2019,"$1,350,000,000.00 "
MIN,2015,"$625,000,000.00 "
MIN,2016,"$720,000,000.00 "
MIN,2017,"$770,000,000.00 "
MIN,2018,"$1,060,000,000.00 "
MIN,2019,"$1,260,000,000.00 "
NOP,2015,"$650,000,000.00 "
NOP,2016,"$650,000,000.00 "
NOP,2017,"$750,000,000.00 "
NOP,2018,"$1,000,000,000.00 "
NOP,2019,"$1,220,000,000.00 "
NYK,2015,"$2,500,000,000.00 "
NYK,2016,"$3,000,000,000.00 "
NYK,2017,"$3,300,000,000.00 "
NYK,2018,"$3,600,000,000.00 "
NYK,2019,"$4,000,000,000.00 "
OKC,2015,"$930,000,000.00 "
OKC,2016,"$950,000,000.00 "
OKC,2017,"$1,025,000,000.00 "
OKC,2018,"$1,250,000,000.00 "
OKC,2019,"$1,475,000,000.00 "
ORL,2015,"$875,000,000.00 "
ORL,2016,"$900,000,000.00 "
ORL,2017,"$920,000,000.00 "
ORL,2018,"$1,225,000,000.00 "
ORL,2019,"$1,325,000,000.00 "
PHI,2015,"$700,000,000.00 "
PHI,2016,"$700,000,000.00 "
PHI,2017,"$800,000,000.00 "
PHI,2018,"$1,180,000,000.00 "
PHI,2019,"$1,650,000,000.00 "
PHX,2015,"$910,000,000.00 "
PHX,2016,"$1,000,000,000.00 "
PHX,2017,"$1,100,000,000.00 "
PHX,2018,"$1,280,000,000.00 "
PHX,2019,"$1,500,000,000.00 "
POR,2015,"$940,000,000.00 "
POR,2016,"$975,000,000.00 "
POR,2017,"$1,050,000,000.00 "
POR,2018,"$1,300,000,000.00 "
POR,2019,"$1,600,000,000.00 "
SAS,2015,"$1,000,000,000.00 "
SAS,2016,"$1,150,000,000.00 "
SAS,2017,"$1,175,000,000.00 "
SAS,2018,"$1,550,000,000.00 "
SAS,2019,"$1,625,000,000.00 "
SAC,2015,"$800,000,000.00 "
SAC,2016,"$925,000,000.00 "
SAC,2017,"$1,075,000,000.00 "
SAC,2018,"$1,375,000,000.00 "
SAC,2019,"$1,575,000,000.00 "
TOR,2015,"$920,000,000.00 "
TOR,2016,"$980,000,000.00 "
TOR,2017,"$1,125,000,000.00 "
TOR,2018,"$1,400,000,000.00 "
TOR,2019,"$1,675,000,000.00 "
UTA,2015,"$850,000,000.00 "
UTA,2016,"$875,000,000.00 "
UTA,2017,"$910,000,000.00 "
UTA,2018,"$1,250,000,000.00 "
UTA,2019,"$1,425,000,000.00 "
WAS,2015,"$900,000,000.00 "
WAS,2016,"$960,000,000.00 "
WAS,2017,"$1,000,000,000.00 "
WAS,2018,"$1,350,000,000.00 "
WAS,2019,"$1,550,000,000.00 "
