Team,Home AVG,Year
Brooklyn Nets,17037,2015
Cleveland Cavaliers,20562,2015
Houston Rockets,18230,2015
Los Angeles Clippers,19168,2015
Los Angeles Lakers,18738,2015
Miami Heat,19713,2015
New York Knicks,19812,2015
Brooklyn Nets,15125,2016
Chicago Bulls,21821,2016
Cleveland Cavaliers,20562,2016
Houston Rockets,17982,2016
Los Angeles Clippers,19193,2016
Los Angeles Lakers,18997,2016
Miami Heat,19740,2016
New York Knicks,19812,2016
Oklahoma City Thunder,18203,2016
Atlanta Hawks,15959,2017
Boston Celtics,18553,2017
Brooklyn Nets,15429,2017
Charlotte Hornets,17333,2017
Chicago Bulls,21680,2017
Cleveland Cavaliers,20562,2017
Dallas Mavericks,19789,2017
Detroit Pistons,15979,2017
Golden State Warriors,19596,2017
Houston Rockets,16973,2017
Los Angeles Clippers,19088,2017
Memphis Grizzlies,16520,2017
Miami Heat,19644,2017
New Orleans Pelicans,16173,2017
New York Knicks,19774,2017
Oklahoma City Thunder,18203,2017
Toronto Raptors,19830,2017
Washington Wizards,17003,2017
Boston Celtics,18624,2018
Charlotte Hornets,16376,2018
Cleveland Cavaliers,20562,2018
Dallas Mavericks,19792,2018
Denver Nuggets,17141,2018
Golden State Warriors,19596,2018
Indiana Pacers,16052,2018
Los Angeles Clippers,17020,2018
Los Angeles Lakers,18935,2018
Memphis Grizzlies,15948,2018
Miami Heat,19632,2018
Milwaukee Bucks,16715,2018
New Orleans Pelicans,16437,2018
Oklahoma City Thunder,18203,2018
Philadelphia 76ers,20329,2018
Sacramento Kings,17559,2018
San Antonio Spurs,18404,2018
Toronto Raptors,19840,2018
Utah Jazz,17922,2018
Washington Wizards,18032,2018
Boston Celtics,18624,2019
Charlotte Hornets,16502,2019
Chicago Bulls,20085,2019
Cleveland Cavaliers,19350,2019
Dallas Mavericks,20014,2019
Denver Nuggets,18450,2019
Detroit Pistons,16487,2019
Golden State Warriors,19596,2019
Houston Rockets,18058,2019
Indiana Pacers,16812,2019
Los Angeles Clippers,17325,2019
Los Angeles Lakers,18997,2019
Memphis Grizzlies,15569,2019
Miami Heat,19641,2019
Milwaukee Bucks,17602,2019
Minnesota Timberwolves,15306,2019
New Orleans Pelicans,16004,2019
Oklahoma City Thunder,18204,2019
Orlando Magic,17562,2019
Phoenix Suns,15293,2019
San Antonio Spurs,18308,2019
Toronto Raptors,19825,2019
Utah Jazz,17860,2019
Washington Wizards,17488,2019
