,Team Code,Team Name
0,ATL,Atlanta
1,BOS,Boston
2,CHA,Charlotte
3,CHI,Chicago
4,CLE,Cleveland
5,DAL,Dallas
6,DEN,Denver
7,DET,Detroit
8,GS,Golden State
9,HOU,Houston
10,IND,Indiana
11,LAC,LA Clippers
12,LAL,LA Lakers
13,MEM,Memphis
14,MIA,Miami
15,MIL,Milwaukee
16,MIN,Minnesota
17,NJ,New Jersey
18,NO,New Orleans
19,NY,New York
20,ORL,Orlando
21,PHI,Philadelphia
22,PHX,Phoenix
23,POR,Portland
24,SA,San Antonio
25,SAC,Sacramento
26,SEA,Seattle
27,TOR,Toronto
28,UTH,Utah
29,VAN,Vancouver
30,WSH,Washington
