Team Code,Team Name
Atl,Atlanta Hawks
Bos,Boston Celtics
Brk,Brooklyn Nets
Chi,Chicago Bulls
Cho,Charlotte Hornets
Cle,Cleveland Cavaliers
Dal,Dallas Mavericks
Den,Denver Nuggets
Det,Detroit Pistons
Gsw,Golden State Warriors
Hou,Houston Rockets
Ind,Indiana Pacers
LAC,LA Clippers
LAL,LA Lakers
Mem,Memphis Grizzlies
Mia,Miami Heat
Mil,Milwaukee Bucks
Min,Minnesota Timberwolves
Nop,New Orleans Pelicans
Nyk,New York Knicks
Okc,Oklahoma City Thunder
Orl,Orlando Magic
Phi,Philadelphia 76ers
Pho,Phoenix Suns
Por,Portland Trail Blazers
Sas,San Antonio Spurs
Sac,Sacramento Kings
Tor,Toronto Raptors
Uta,Utah Jazz
Was,Washington Wizards
