Rank,Team,Value
1, New York Knicks, $3.6 billion
2, Los Angeles Lakers, $3.3 billion
3, Golden State Warriors, $3.1 billion
4, Chicago Bulls, $2.6 billion
5, Boston Celtics, $2.5 billion
6, Brooklyn Nets, $2.3 billion
7, Houston Rockets, $2.2 billion
8, Los Angeles Clippers, $2.15 billion
9, Dallas Mavericks, $1.9 billion
10, Miami Heat, $1.7 billion
11, San Antonio Spurs, $1.55 billion
12, Toronto Raptors, $1.4 billion
13, Sacramento Kings, $1.375 billion
14, Washington Wizards, $1.35 billion
15, Cleveland Cavaliers, $1.325 billion
16, Portland Trail Blazers, $1.3 billion
17, Phoenix Suns, $1.28 billion
18, Oklahoma City Thunder, $1.25 billion
19, Orlando Magic, $1.225 billion
20, Utah Jazz, $1.2 billion
21, Philadelphia 76ers, $1.18 billion
22, Indiana Pacers, $1.175 billion
23, Atlanta Hawks, $1.15 billion
24, Denver Nuggets, $1.125 billion
25, Detroit Pistons, $1.1 billion
26, Milwaukee Bucks, $1.075 billion
27, Minnesota Timberwolves, $1.06 billion
28, Charlotte Hornets, $1.05 billion
29, Memphis Grizzlies, $1.025 billion
30, New Orleans Pelicans, $1 billion
